Model,RMSE,MAE,R2,N_Test,Rank_RMSE
Random Forest,0.0625985169790072,0.04789267138442929,0.3638453910533149,1440,1
Extended Model,0.06364480151921836,0.048570409109091606,0.3424020328956364,1440,2
CAPM,0.06403328964689875,0.048779857984468565,0.33434957020245537,1440,3
