Model,Variable,Coefficient,Std_Error,t_stat,p_value
CAPM,const,0.005511821473275159,0.0014232565721520938,3.872682959011938,0.00011034207481056087
CAPM,Excess_Market_Return,1.0558241551224066,0.03291113919179111,32.08105769203384,4.384640160994841e-190
Extended Model,const,-0.003069121735847648,0.0027443674131965253,-1.1183348559997885,0.26354004218028537
Extended Model,Market_Return,1.03202029101203,0.03593053384650128,28.72265398062051,1.916491830726548e-155
Extended Model,Lagged_Return,0.016836560923821988,0.01787382224368307,0.9419675710254045,0.3463075280496364
Extended Model,Volatility,0.12929368902895708,0.031032423392815506,4.16640645148231,3.2079487265925765e-05
Extended Model,Momentum,-0.0016773468701351143,0.00422198055359413,-0.3972891037376299,0.6911909070149351
